,Unnamed: 0,url,title,price,rating,description,"Brand,Seller,orCollectionName",Modelnumber,PartNumber,ItemShape,Dialwindowmaterialtype,DisplayType,Clasp,Casematerial,Casediameter,CaseThickness,BandMaterial,Bandwidth,BandColor,Dialcolor,Bezelfunction,Movement,Waterresistantdepth,ProductWarranty,Metalstamp,Bezelmaterial,Specialfeatures,Itemweight,Bandsize,Calendar,Warranty,ModelYear,Material,ItemLength,Width,Length,Chain,GemType,Setting,StoneWeight,Waterpressureresistance
37,37,https://www.amazon.com/Bulova-97M107-Crystal-Display-Japanese/dp/B00LMM8YTE/ref=sr_1_278?keywords=bulova&qid=1692030893&sr=8-278,Bulova Women's 97M107 Crystal Analog Display Japanese Quartz Black Watch,,4.0,"From the Precisionist Collection. Featuring Bulova’s proprietary Precisionist quartz accuracy, in stainless steel with silver and black ion-plated finish, curved crystal, multiple-layer black carbon fiber, grey and silver dial, red continuously sweeping second hand, luminous hands and markers, curved calendar window, 24-hour track, screw-back case, screw-down crown, double-press fold-over clasp with safety lock, and water resistance to 300 meters.Precisionist TechnologyAt the heart of the watch is the Bulova Precisionist-class torsional resonator movement, custom-engineered to provide accuracy to within seconds a year using a three-prong quartz crystal that creates a vibration frequency of 262.144 kHz, the highest of any watch in the world and far greater than that of a standard quartz crystal. In laboratory testing, the Precisionist-class movement has been shown to be three times more accurate than standard quartz. This proprietary manufactured movement, including the signature floating second hand, also offers a resistance to gravitational error that makes it superior in performance to any mechanical watch on the market.Summary of FeaturesOne of the world’s most accurate movements – accurate to within seconds a yearPrecisionist-class torsional resonator movement proven in laboratory testing to be three times more accurate than standard quartzStainless steel case and bracelet with black ion-plated accentsCurved mineral crystalMultiple-layer black carbon fiber, grey, and silver dialRed continuously sweeping second handLuminous hour and minute handsLuminous markersCurved calendar windowScrew-back caseScrew-down crownDouble-press fold-over clasp with safety lockWater resistant to 300 metersAbout BulovaIn 1875, Joseph Bulova, a 23-year-old immigrant, set up shop in New York City and a legendary American watch brand was born. Since then, Bulova has stood proudly in the vanguard of timekeeping innovation, committed to the legacy of creativity and excellence established by its founder.A pioneering force in the industry, Bulova transformed how watches were worn and how time was perceived, registering over 50 patents as he and his company built a record of creativity including the first full lines of men’s (1919) and ladies’ (1924) wristwatches, the first clock/radio (1928) and the first electric clock (1931). To ensure the utmost in precision, in 1920, Bulova even established its own observatory – located atop its New York skyscraper. With that same spirit of innovation, following World War II, determined “to serve those who served us,” Bulova established The Bulova School of Watchmaking, using new and unique methods to train disabled veterans for positions in the watch and jewelry industry. Then, in 1960, Bulova changed timekeeping forever with the revolutionary Accutron, the world’s first fully electronic watch. An integral component of U.S. space technology, Accutron timing was used on 46 NASA missions, including Apollo XI, the first lunar landing (1969).Today, as one of the world’s most recognized brands, Bulova has expanded across the globe, with four separate watch brands, Bulova, Bulova AccuSwiss, Bulova Accutron II and Caravelle New York, as well as the award-winning Bulova Clocks.The signature Bulova brand provides an extensive selection of watches for every occasion, crafted of the finest materials, including 315L surgical grade stainless steel, diamonds, mother-of-pearl, carbon fiber, top-quality leather and Bulova’s proprietary Duramic™ nylon/ceramic composite, and powered by Precisionist-class quartz, automatic and quartz movements. An industry leader in diamond watch styling, with the new Diamond Gallery offering exquisite designs in stainless steel with sapphire crystals, Bulova is also known for Precisionist, featuring Bulova’s proprietary Precisionist-class quartz torsional resonator movement for accuracy to within seconds per year, the Marine Star collection, combining high-performance sports timekeeping with superior durability and water resistance to a minimum of 100 meters, and a comprehensive selection of classic styles, each with a three-year limited warranty.   From the Crystal Collection. Chronograph in stainless steel with gold ion-plated finish, 70 individually hand-set Swarovski elements crystals, patterned champagne sunray dial, calendar, small sweep, black leather strap, and water resistance to 30 meters. Diameter: 34.0mm Thickness: 9.7mm", Bulova , 97M107 , 97M107 , Round , Mineral , Analog , Buckle , Stainless Steel , 9.7 millimeters , 9 millimeters , Leather , 20.5 millimeters , Black , Beige , Stationary , Japanese Quartz , 99 Feet ,,, Stainless Steel ,,, Women's Standard , Date ," If this product is sold by Amazon, please review the manufacturer’s website for warranty information. If this product is sold by another party, please contact the seller directly for warranty information for this product. You may also be able to find warranty information on the manufacturer’s website. ",,,,,,,,,,
38,38,https://www.amazon.com/Bulova-Mens-Marine-Automatic-Watch/dp/B0BHZ1VRH6/ref=sr_1_279?keywords=bulova&qid=1692030893&sr=8-279,Bulova Men's Marine Star Automatic Watch,385.2,5.0,"The newest addition to the Marine Star Automatic men’s classic watch collection features a sporty elegance with a nautical appeal that is all in the details. This elegant timepiece features a tinted exhibition dial with an open heartbeat, showcasing the 21 jewel 3 hand automatic movement. The stainless steel case is finished with a rotating bezel. The blue alligator grain embossed leather strap has a silicone base for more flexibility and comfort, which and features a wave pattern the iconic Marine Star whale logo. The strap is finished with a 3-piece buckle. This watch is water resistant up to 200 meters and is the perfect look for stylish adventures on land and sea.", Bulova , 96A291 , 96A291 , Round , Mineral , Analog , Buckle , Stainless Steel , 45 millimeters , 15 millimeters , Leather , 21 millimeters , Blue , Blue ,, Automatic , 200 Meters ," For warranty information about this product, please click here ",, Stainless Steel ," Luminous Hands, Luminous Numbers, Screw Down Crown ", 4.23 Ounces , Mens Standard , No Date Function ,,,,,,,,,,,
39,39,https://www.amazon.com/Bulova-Ladies-Gold-Tone-Stainless-Silicone/dp/B08FC36P1Z/ref=sr_1_280?keywords=bulova&qid=1692030893&sr=8-280,Bulova Latin Grammy Gemini Quartz Rose Gold Stainless Steel Accent with Curved Mineral Crystal and Black Silicone Strap Watch,187.11,4.3,, Bulova , 97L163 , 97L163 , Tonneau , Crystal , Analog , Push Button Deployment Clasp , Black Ion-Plated Stainless Steel , 30.5 millimeters , 9.15 millimeters , Silicone , 18 millimeters , Black , Black , Stationary , Quartz , 30 Meters ," For warranty information about this product, please click here ", no-metal-stamp , Stainless Steel , Second Hand ,, Womens Standard , No Calendar ,,,,,,,,,,,
40,40,https://www.amazon.com/Caravelle-Bulova-Womens-Quartz-Stainless/dp/B07GNNWSKK/ref=sr_1_281?keywords=bulova&qid=1692030893&sr=8-281,"Caravelle by Bulova Modern Quartz Ladies Watch, Stainless Steel Crystal , Silver-Tone (Model: 43L210)",67.42,4.4,A mesmerizing dazzler set with 380 silver brilliant crystals on dial and 60 individually set crystals on bezel. Stainless steel case and bracelet with double-push fold-over buckle.* Case Diameter: 28.5mm * Case Thickness: 8.45mm * Water Resistance: 30M   A mesmerizing dazzler set with 380 silver high-quality Austrian crystals on dial and 60 individually set crystals on bezel. Stainless steel case and bracelet with double-push fold-over buckle. Case Diameter: 28.5mm Case Thickness: 8.45mm Water Resistance: 30M 3-Year Limited Warranty, Bulova , 43L210 , 43L210 , Round , Mineral , Analog , Push Button Foldover Clasp With Safety , Stainless Steel , 23.3 millimeters , 3.4 millimeters , Stainless Steel , 8.9 millimeters , Silver , Silver , Stationary , Quartz , 100 Feet ,,, Stainless Steel ,, 2.4 Ounces , Women's Standard , No Calendar ," For warranty information about this product, please click here [PDF ]  ",,,,,,,,,,
41,41,https://www.amazon.com/Bulova-Precisionist-Quartz-Stainless-Steel/dp/B07D213LW6/ref=sr_1_282?keywords=bulova&qid=1692030893&sr=8-282,Bulova Men's Watch,550.0,4.5,, Bulova , 98B303 , 98B303 , Round , Sapphire Crystal , Analog , Push Button Deployment Clasp , Stainless Steel , 44 millimeters , 12.2 millimeters , IP mesh stainless-steel , 22 millimeters , Black , Black , Stationary , Quartz , 330 Feet ," For warranty information about this product, please click here ",, Stainless Steel ,, 6.24 Ounces , Men's Standard , Date ,,,,,,,,,,,
43,43,https://www.amazon.com/Bulova-Precisionist-Diamond-Leather-96D147/dp/B07WHYTYWW/ref=sr_1_283?keywords=bulova&qid=1692030893&sr=8-283,"Bulova Precisionist Mens Watch, Stainless Steel with Black Stainless Steel StrapDiamond , Silver-Tone (Model: 96D147)",419.99,4.4,"Powered by Bulova’s proprietary Precisionist three-hand calendar movement with a 262kHz vibrational frequency—eight times greater than standard timepieces—for unparalleled accuracy. Stainless steel case with black dial featuring 11 hand set diamonds, curved mineral crystal, black leather strap with alligator grain texture and three-piece buckle closure. 300-meter water resistance.", Bulova , 96D147 , 96D147 , Round , Mineral , Analog , Buckle , Stainless Steel , 46.5 millimeters , 14.3 millimeters , Stainless Steel , 24 millimeters , Black , Black , Stationary , Quartz , 300 Meters ," For warranty information about this product, please click here ", no-metal-stamp , Stainless Steel , Water Resistant ,, Mens Standard , Date ,,,,,,,,,,,
44,44,https://www.amazon.com/Bulova-Automatic-Bracelet-Watch-98A146/dp/B010B90WYS/ref=sr_1_284?keywords=bulova&qid=1692030893&sr=8-284,"Bulova Men's Classic Two-Tone Stainless Steel 3-Hand Automatic Watch, Skeleton Dial, 43mm Style: 98A146",467.5,4.2,"From the Automatic collection. In stainless steel with silver-tone and gold-tone finish, black outer dial, open skeleton inner dial, flat mineral glass, fold-over closure with pushers, safety bar and extenders, and exhibition case back.", Bulova , 98A146 , 98A146 , Round , Mineral Glass , Analog , Push Button Foldover Clasp With Safety , Stainless Steel , 43 millimeters , 12 millimeters , Stainless Steel , 23 millimeters , Silver , Black , Stationary , Automatic , 30 Meters ,,, Stainless Steel ,, 10.23 Ounces , Mens Standard , No Calendar , Manufacturer’s warranty can be requested from customer service. Click here to make a request to customer service. ,,,,,,,,,,
45,45,https://www.amazon.com/Bulova-Womens-Quartz-Stainless-Steel/dp/B07FDQMFWB/ref=sr_1_286?keywords=bulova&qid=1692030893&sr=8-286,"Bulova Ladies' Crystal Accented Gift Set with 3-Hand Quartz Watch and Flexible Bangle Bracelets, Mother-of-Pearl Dial",239.27,4.3,"Watch Sizing Guide Find the perfect gift for your lady with this lovely Bulova® 98X119 - Box Set. Crystal-embellished bezel beautifully complements bracelets for a layered look. Stainless steel case. Chain-link strap with deployment clasp and embellished insets. Round face. Three-hand analog display with quartz movement. Dial features gold-tone hands, crystal hour marks and Bulova detailing. Water resistant 100 feet. Gift box set included. Imported. Your Bulova watch is covered by Bulova's 3-Year Global Warranty. Measurements: Case Height: 32 mm Case Width: 31 9/10 mm Case Depth: 6 mm Band Width: 14 mm Band Circumference/Length: 8 1/2 in Weight: 2.4 oz", Bulova , 96X145 , 96X145 , Round , Mineral , Analog , Deployment Clasp , Stainless Steel , 31.8 millimeters , 5.9 millimeters , Stainless Steel , 13.8 millimeters , Silver , Mother of pearl , Stationary , Quartz , 100 Feet ," For warranty information about this product, please click here ", no-metal-stamp , Stainless Steel , Water Resistant , 2.4 Ounces , Women's Standard , No Calendar ,,,,,,,,,,,
46,46,https://www.amazon.com/Bulova-Sutton-98D165-Two-Tone-Yellow/dp/B0822K3SSX/ref=sr_1_289?keywords=bulova&qid=1692030893&sr=8-289,"Bulova Men's Classic Sutton 3-Hand Diamond Two Tone Stainless Steel, Black Dial Style: 98D165",229.9,4.9,"Two-tone stainless steel case and bracelet with a black dial featuring eight diamonds set on the dial and gold-tone hands, and a calendar window at the 6 o’clock position. Domed mineral crystal. Deployant buckle.", Bulova , 98D165 , 98D165 , Round , Crystal , Analog , Deployment Clasp , Stainless Steel , 40 millimeters , 7.28 millimeters , Stainless Steel , 20 millimeters , Two-Tone , Black , Stationary , Quartz , 30 Meters ," For warranty information about this product, please click here ", no-metal-stamp , Stainless Steel , Chronograph ,, Mens Standard , Day-Date ,,,,,,,,,,,
47,47,https://www.amazon.com/Bulova-Archive-MIL-SHIPS-W-2181-Stainless-Automatic/dp/B0BVD8RCYR/ref=sr_1_290?keywords=bulova&qid=1692030893&sr=8-290,"Bulova Men's Archive Series MIL-SHIPS-W-2181 Stainless Steel 3-Hand Hack Automatic Watch, Grey Nylon Strap and Black Matte Dial Style: 98A266",681.23,5.0,"Brand new to the Archive Series, the MIL-SHIPS-W-2181 is based on a prototype that was never commercially launched, making 2021 the first time watch enthusiasts will have the opportunity to own this luxury timepiece. The sport watch was inspired by a timepiece developed for the U.S. Navy, and it has a unique paper strip on the dial that indicates if moisture has entered the watch, and will change color should the water resistance — up to 200 meters — ever start to fail. Another unique feature of this watch is that the top ring will only rotate once it is pressed down. The black matte dial is set into a stainless steel case, and has a slate blue NATO strap made with a finely-woven nylon material made to withstand continuous contact with water. This unique watch is versatile enough to be worn every day, but has the features to stand up against any other sport-style watch on the market today.", Bulova , 98A266 , 98A266 , Round , Sapphire Crystal , Analog , 3pc Wire Strap Buckle , Stainless Steel , 41 millimeters , 15.1 millimeters , Nylon , 16 millimeters , Gray , Black , Stationary , Automatic , 200 Meters ,, no-metal-stamp , Stainless Steel , Water Resistant ,, Mens Standard , No Calendar , Manufacturer’s warranty can be requested from customer service. Click here to make a request to customer service. ,,,,,,,,,,
48,48,https://www.amazon.com/Bulova-98R273-Millenia-Womens-Stainless/dp/B07Q481KQQ/ref=sr_1_287?keywords=bulova&qid=1692030893&sr=8-287,Bulova Ladies Modern Diamond Quartz Stainless Steel Bracelet Watch,288.0,4.1,, Bulova , 98R273 , 98R273 , Round , Mineral , Analog , Push Button Deployment Clasp , Stainless Steel , 32 millimeters , 7.5 millimeters , Stainless Steel , 17 millimeters , Two tone , Blue , Stationary , Quartz , 30 Meters ,,, Stainless Steel ,, 3.17 Ounces , Womens Standard ,, Manufacturer’s warranty can be requested from customer service. Click here to make a request to customer service. ,,,,,,,,,,
49,49,https://www.amazon.com/Bulova-Womens-Regatta-Silver-Watch/dp/B095J4HP8F/ref=sr_1_291?keywords=bulova&qid=1692030893&sr=8-291,"Bulova Women's Regatta Diamond Automatic Stainless Steel Open Aperture Watch, Mother of Pearl Dial Style: 96P222",323.67,4.2,"Inspired by Bulova heritage timepieces, the slim Ladies’ Automatic Regatta features a stainless steel case and bracelet, open aperture on a lustrous mother-of-pearl dial with rose gold-tone accents set with nine diamonds. The elegant timepiece has a slim Miyota automatic 9029-20A open heartbeat 24-jewel movement with a 42-hour power reserve. Signature Regatta design details feature the crown placed at the 2 o’clock position and distinct angled lugs. Flat sapphire crystal, and water resistance to 30 meters.", Bulova , 96P222 , 96P222 , Round , Sapphire Crystal , Analog , Push Button Deployment Clasp , Stainless Steel , 32.2 millimeters , 9.2 millimeters , Stainless Steel , 16 millimeters , Silver , White , Stationary , Automatic , 30 Meters ," For warranty information about this product, please click here ", no-metal-stamp , Stainless Steel , Chronograph , 8 Ounces , Womens Standard , No Calendar ,,,,,,,,,,,
